# number of customers + 1 (depot stored as last "customer") [int nC]
41
# customer IDs (depot gets ID -1) [int* customerIDs]
106913329 106911698 106910237 106917243 106902189 106915316 106919278 106917213 106909282 106911645 106906349 106905934 106904109 106900460 106920477 106912579 106904058 106914278 106919463 106920107 106920725 106914756 106900883 106920466 106900901 106914179 106900552 106920150 106914142 106915675 106915113 106902326 106910540 106900895 106905920 106915029 106900486 106903139 106912021 106903227 -1 
# time window lists for each real customer (number of elements followed by elements' contents (day,start_t,end_t,weight)) [modelWindow** timeWindows]
4 3 50400 61200 0.80 2 50400 61200 0.90 4 39600 50400 0.64 1 43200 50400 0.84 
4 1 39600 46800 0.70 2 43200 46800 0.40 0 32400 43200 0.66 3 32400 36000 0.93 
4 1 54000 57600 0.70 4 32400 43200 0.72 2 46800 54000 0.49 0 36000 43200 0.88 
4 3 32400 36000 0.68 0 54000 61200 0.89 4 39600 43200 0.74 1 32400 43200 0.71 
4 4 54000 61200 0.76 3 50400 54000 0.68 2 46800 54000 0.41 0 39600 46800 0.87 
4 3 54000 61200 0.91 1 32400 39600 0.46 0 43200 50400 0.57 2 43200 46800 0.66 
4 4 50400 54000 0.92 1 54000 57600 0.83 0 43200 54000 0.97 2 54000 61200 0.97 
4 1 32400 43200 0.58 4 36000 46800 0.43 0 39600 43200 0.99 3 46800 54000 0.78 
4 1 36000 43200 0.63 3 54000 61200 0.65 0 54000 61200 0.90 2 43200 50400 0.91 
4 2 46800 54000 0.70 3 50400 57600 0.73 1 46800 57600 0.48 0 39600 43200 0.77 
4 1 46800 57600 0.58 4 32400 36000 0.73 3 39600 50400 0.44 0 39600 46800 0.97 
4 2 50400 61200 0.59 4 43200 50400 0.57 1 50400 57600 0.97 3 54000 61200 0.97 
4 1 54000 57600 0.55 2 54000 57600 0.47 3 46800 57600 0.82 4 39600 43200 0.48 
4 4 50400 61200 0.91 1 32400 43200 0.82 2 32400 39600 0.91 0 39600 46800 0.77 
4 3 39600 46800 0.83 1 54000 61200 0.55 2 36000 39600 0.64 4 54000 61200 0.77 
4 2 54000 61200 0.75 4 32400 36000 0.73 0 43200 50400 0.98 1 50400 54000 0.42 
4 4 54000 61200 0.84 2 46800 50400 0.44 0 50400 61200 0.69 3 46800 54000 0.57 
4 4 46800 54000 0.67 1 32400 39600 0.81 0 54000 57600 0.60 3 54000 57600 0.58 
4 0 54000 61200 0.89 4 43200 46800 0.92 1 46800 57600 0.55 3 39600 43200 0.66 
4 2 54000 57600 0.73 4 32400 39600 0.54 3 54000 61200 0.98 1 54000 57600 0.55 
4 4 32400 39600 0.82 3 36000 43200 0.85 1 32400 43200 0.72 0 54000 61200 0.84 
4 2 36000 39600 0.59 1 39600 46800 0.76 0 32400 43200 0.68 4 43200 46800 0.54 
4 0 46800 50400 0.88 2 43200 46800 0.89 1 43200 54000 0.58 3 43200 50400 0.69 
4 2 46800 50400 0.96 1 54000 57600 0.67 4 54000 61200 0.42 0 46800 50400 0.42 
4 0 32400 43200 0.67 2 32400 43200 0.73 4 54000 57600 0.68 3 39600 46800 0.92 
4 0 32400 43200 0.64 1 46800 50400 0.93 2 32400 43200 0.81 3 54000 57600 0.80 
4 0 54000 61200 0.60 3 50400 61200 0.55 1 46800 54000 0.64 4 43200 50400 0.52 
4 2 54000 57600 0.85 0 43200 50400 0.48 3 50400 57600 0.88 4 32400 36000 0.70 
4 4 39600 50400 0.60 1 39600 43200 0.65 0 39600 46800 0.91 3 32400 39600 0.48 
4 3 54000 57600 0.45 2 50400 54000 0.45 1 54000 61200 0.47 0 54000 57600 0.96 
4 4 39600 46800 0.46 1 36000 43200 0.51 3 36000 39600 0.80 0 36000 43200 0.70 
4 0 39600 43200 0.85 4 32400 36000 0.90 3 50400 61200 0.92 1 36000 39600 0.78 
4 3 36000 39600 0.93 0 39600 43200 0.52 4 39600 43200 0.93 2 46800 57600 0.90 
4 1 50400 54000 0.62 3 54000 57600 0.85 0 54000 61200 0.95 4 32400 43200 0.44 
4 0 32400 39600 0.56 4 32400 36000 0.50 1 43200 50400 0.83 2 43200 46800 0.58 
4 1 32400 36000 0.44 4 36000 46800 0.69 3 32400 39600 0.96 2 39600 43200 0.47 
4 3 32400 43200 0.84 0 36000 46800 0.46 2 36000 39600 0.91 1 54000 61200 0.45 
4 4 54000 61200 0.70 1 36000 43200 0.55 0 32400 39600 0.97 3 54000 61200 0.90 
4 3 39600 50400 0.98 2 32400 39600 0.50 0 43200 54000 0.76 1 50400 57600 0.99 
4 1 32400 36000 0.76 3 50400 61200 0.76 2 43200 50400 0.87 0 46800 57600 0.77 
# objective function coefficients [SCIP_Real* obj]
