# number of customers + 1 (depot stored as last "customer") [int nC]
41
# customer IDs (depot gets ID -1) [int* customerIDs]
114301302 114302441 114308081 114305405 114313776 114316077 114304703 114309033 114308312 114303706 114310298 114312197 114315543 114308770 114314677 114311410 114310906 114301647 114310794 114307933 114300145 114305249 114300242 114309561 114310587 114312870 114305871 114307338 114310711 114312161 114312305 114305061 114307350 114301786 114316420 114316149 114311090 114316215 114300010 114301955 -1 
# time window lists for each real customer (number of elements followed by elements' contents (day,start_t,end_t,weight)) [modelWindow** timeWindows]
4 1 50400 61200 0.57 4 46800 54000 0.65 2 39600 43200 0.66 3 54000 61200 0.94 
4 0 54000 57600 0.80 1 39600 50400 0.78 2 36000 43200 0.59 4 54000 57600 0.72 
4 4 46800 50400 0.83 1 32400 36000 0.77 3 43200 50400 0.41 2 43200 54000 0.66 
4 3 46800 54000 0.64 1 36000 46800 0.86 0 39600 43200 0.51 2 32400 36000 0.97 
4 2 46800 57600 0.87 0 43200 54000 0.96 3 36000 43200 0.92 1 32400 43200 0.67 
4 0 32400 36000 0.79 3 39600 50400 0.76 4 50400 61200 0.64 1 54000 61200 0.81 
4 3 46800 50400 0.74 2 43200 46800 0.80 4 50400 61200 0.78 1 54000 61200 0.93 
4 3 46800 50400 0.98 4 46800 57600 0.68 0 54000 57600 0.66 1 46800 54000 0.62 
4 4 54000 61200 0.97 1 36000 43200 0.86 0 54000 57600 0.84 3 32400 43200 0.85 
4 3 43200 46800 0.47 1 32400 39600 0.47 0 39600 50400 0.63 2 43200 46800 0.64 
4 3 54000 61200 0.94 4 39600 43200 0.64 1 32400 43200 0.53 2 36000 43200 0.64 
4 3 54000 61200 0.89 4 46800 57600 0.77 1 54000 61200 0.40 2 32400 36000 0.46 
4 2 50400 54000 0.46 4 32400 36000 0.63 3 43200 50400 0.92 1 46800 57600 0.56 
4 0 50400 57600 0.45 3 50400 57600 0.99 2 39600 50400 0.95 1 50400 57600 0.58 
4 1 43200 54000 0.76 2 46800 57600 0.42 0 32400 43200 0.48 4 39600 50400 0.72 
4 2 50400 54000 0.61 1 54000 57600 0.69 4 50400 54000 0.65 3 36000 46800 0.51 
4 3 43200 46800 0.92 0 43200 46800 0.51 1 50400 61200 0.91 2 54000 57600 0.66 
4 1 54000 57600 0.56 2 50400 61200 0.64 4 54000 61200 0.71 3 36000 46800 0.77 
4 0 39600 46800 0.78 4 50400 61200 0.72 1 32400 43200 0.93 2 36000 39600 0.56 
4 0 32400 36000 0.43 1 32400 36000 0.90 2 36000 43200 0.55 4 46800 50400 0.76 
