# number of customers + 1 (depot stored as last "customer") [int nC]
21
# customer IDs (depot gets ID -1) [int* customerIDs]
112107306 112100992 112124235 112103927 112101907 112106484 112114751 112121259 112118779 112101185 112112123 112117563 112101378 112113642 112112980 112120855 112114411 112117727 112112102 112121819 -1 
# time window lists for each real customer (number of elements followed by elements' contents (day,start_t,end_t,weight)) [modelWindow** timeWindows]
6 4 36000 46800 0.51 2 36000 46800 0.66 7 36000 46800 0.66 1 43200 46800 0.97 0 50400 61200 0.82 5 50400 61200 0.82 
6 7 36000 39600 0.48 1 32400 36000 0.80 6 32400 36000 0.80 9 50400 57600 0.73 3 36000 46800 0.80 8 36000 46800 0.80 
6 0 32400 39600 0.64 5 32400 39600 0.64 1 50400 61200 0.84 3 36000 39600 0.92 2 36000 43200 0.58 7 36000 43200 0.58 
6 1 54000 57600 0.54 3 46800 57600 0.98 0 46800 50400 0.44 5 46800 50400 0.44 4 39600 43200 0.51 9 39600 43200 0.51 
6 7 39600 46800 0.72 1 32400 36000 0.68 6 32400 36000 0.68 5 36000 39600 0.65 4 32400 36000 0.56 9 32400 36000 0.56 
6 2 54000 61200 0.80 7 54000 61200 0.80 8 32400 39600 0.80 4 46800 54000 0.96 1 43200 50400 0.52 6 43200 50400 0.52 
6 3 36000 43200 0.63 8 36000 43200 0.63 2 50400 61200 0.47 7 50400 61200 0.47 1 36000 43200 0.67 6 36000 43200 0.67 
6 2 36000 39600 0.77 5 36000 43200 0.99 1 32400 43200 0.62 6 32400 43200 0.62 3 43200 54000 0.90 8 43200 54000 0.90 
6 1 36000 46800 0.91 8 46800 54000 0.76 4 39600 50400 0.42 9 39600 50400 0.42 2 36000 39600 0.85 7 36000 39600 0.85 
6 0 32400 43200 0.81 5 32400 43200 0.81 1 46800 50400 0.85 2 39600 43200 0.45 3 39600 50400 0.99 8 39600 50400 0.99 
6 1 43200 50400 0.91 6 43200 50400 0.91 9 39600 46800 0.56 3 39600 46800 0.54 0 46800 50400 0.98 5 46800 50400 0.98 
6 2 39600 46800 0.57 7 39600 46800 0.57 9 36000 43200 0.53 6 43200 50400 0.62 3 36000 39600 0.79 8 36000 39600 0.79 
6 0 54000 61200 0.67 6 36000 43200 0.48 2 43200 54000 0.59 7 43200 54000 0.59 4 39600 50400 0.80 9 39600 50400 0.80 
6 3 32400 39600 0.47 8 32400 39600 0.47 4 39600 50400 0.78 9 39600 50400 0.78 0 36000 46800 0.98 5 36000 46800 0.98 
6 3 46800 54000 0.80 2 39600 43200 0.66 7 39600 43200 0.66 6 36000 39600 0.96 4 36000 43200 0.62 9 36000 43200 0.62 
6 4 46800 57600 0.41 9 46800 57600 0.41 6 39600 43200 0.73 7 46800 50400 0.82 3 50400 54000 0.40 8 50400 54000 0.40 
6 1 54000 61200 0.67 6 54000 61200 0.67 4 36000 43200 0.48 9 36000 43200 0.48 3 43200 54000 0.44 8 43200 54000 0.44 
6 3 39600 50400 0.66 8 39600 50400 0.66 4 50400 61200 0.71 9 50400 61200 0.71 2 36000 39600 0.53 7 36000 39600 0.53 
6 0 54000 61200 0.65 2 50400 54000 0.50 1 46800 54000 0.79 6 46800 54000 0.79 3 46800 50400 0.84 8 46800 50400 0.84 
6 2 50400 54000 0.74 9 54000 61200 0.54 3 50400 61200 0.80 8 50400 61200 0.80 0 54000 57600 0.47 5 54000 57600 0.47 
# objective function coefficients [SCIP_Real* obj]
585.447000 220.546333 1045.003000 1037.631333 538.230333 204.459476 527.213000 300.097000 582.316000 586.473000 528.754000 171.211000 157.918000 1087.823000 1021.363333 221.772000 273.100000 1056.700000 597.984000 188.025000 0.000000 
# shift start time [int shift_start]
21600
# shift end time [int shift_end]
79200
# service times at customers (depot has service time 0.0) [int* t_service]
120 120 120 120 240 180 120 180 60 180 240 240 180 180 180 300 300 300 120 120 0 
# max. deviation of service times at customers (depot again 0.0) [int* t_service_maxDev]
360 480 180 480 420 540 480 540 420 180 300 360 360 120 240 300 60 420 360 360 0 
# morning/AM travel time matrix between customers (incl. depot as last customer) [int** t_travelAM]
0 478 409 294 264 250 340 383 581 309 232 398 381 295 270 419 336 527 233 490 1484 
515 0 611 359 252 404 617 330 545 248 508 637 147 572 509 304 612 804 509 591 1414 
442 540 0 522 506 392 320 402 442 506 368 172 438 310 195 438 234 373 367 381 1396 
322 289 471 0 80 146 423 318 635 119 314 460 191 378 332 370 419 610 316 544 1413 
303 261 436 110 0 191 404 290 607 91 295 424 164 359 296 342 400 591 297 516 1433 
